"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K78432605",-0.894683026584867,1,-0.894683026584867,NA,-0.894683026584867
"2","BRD-K63697730",-0.835548738922972,1,-0.835548738922972,NA,-0.835548738922972
"3","BRD-K69795440",-0.810802001735263,1,-0.810802001735263,NA,-0.810802001735263
"4","BRD-K40941329",-0.785410045361712,1,-0.785410045361712,NA,-0.785410045361712
"5","BRD-K12266212",-0.779956739294909,1,-0.779956739294909,NA,-0.779956739294909
"6","BOX-5",-0.77692569870484,1,-0.77692569870484,NA,-0.77692569870484
"7","BRD-K47808476",-0.766493889942489,1,-0.766493889942489,NA,-0.766493889942489
"8","metamizole",-0.760224948875256,1,-0.760224948875256,NA,-0.760224948875256
"9","ABC-294640",-0.759543285616905,1,-0.759543285616905,NA,-0.759543285616905
"10","zolpidem",-0.757291435954759,1,-0.757291435954759,NA,-0.757291435954759
"11","BRD-K48835133",-0.753749147920927,1,-0.753749147920927,NA,-0.753749147920927
"12","BRD-K33061098",-0.738375280535536,1,-0.738375280535536,NA,-0.738375280535536
"13","BRD-A18279961",-0.736366734832993,1,-0.736366734832993,NA,-0.736366734832993
"14","itopride",-0.733603637727083,1,-0.733603637727083,NA,-0.733603637727083
"15","sulmazole",-0.731424676209952,1,-0.731424676209952,NA,-0.731424676209952
"16","BRD-K15377376",-0.731236038359111,2,-0.731236038359111,0.174753928119463,-0.731236038359111
"17","BRD-K44660322",-0.726823449216087,1,-0.726823449216087,NA,-0.726823449216087
"18","BRD-K20510412",-0.718083581880199,5,-0.724267211997274,0.130259880287572,-0.718083581880199
"19","BRD-A75471153",-0.708211681353532,1,-0.708211681353532,NA,-0.708211681353532
"20","glutamyldopamine",-0.698327564107451,1,-0.698327564107451,NA,-0.698327564107451
"21","BRD-K15960830",-0.694274028629857,1,-0.694274028629857,NA,-0.694274028629857
"22","nimetazepam",-0.693385505484411,1,-0.693385505484411,NA,-0.693385505484411
"23","ZD-7288",-0.690829268265597,2,-0.690829268265597,0.133998422065345,-0.690829268265597
"24","dihydrostreptomycin",-0.684049079754601,1,-0.684049079754601,NA,-0.684049079754601
"25","BRD-A35141262",-0.682174505794138,1,-0.682174505794138,NA,-0.682174505794138
"26","dorzolamide",-0.679922656131991,1,-0.679922656131991,NA,-0.679922656131991
"27","BG-1018",-0.666904068352294,2,-0.666904068352294,0.135780184886285,-0.666904068352294
"28","xylometazoline",-0.666630222594159,1,-0.666630222594159,NA,-0.666630222594159
"29","BRD-K84586204",-0.666578349751006,1,-0.666578349751006,NA,-0.666578349751006
"30","meticrane",-0.665266896077458,1,-0.665266896077458,NA,-0.665266896077458
"31","ST-4042556",-0.658681505298443,4,-0.679770462353657,0.121923181985019,-0.658681505298443
"32","BRD-A68274214",-0.658632827332711,3,-0.612608409369892,0.212345088930641,-0.658632827332711
"33","salsolidine",-0.657293796864349,1,-0.657293796864349,NA,-0.657293796864349
"34","BRD-K10833576",-0.653033401499659,1,-0.653033401499659,NA,-0.653033401499659
"35","BRD-K40378749",-0.652656125797976,1,-0.652656125797976,NA,-0.652656125797976
"36","tylosin",-0.651974462539626,1,-0.651974462539626,NA,-0.651974462539626
"37","BRD-K23073505",-0.647920927062031,1,-0.647920927062031,NA,-0.647920927062031
"38","BRD-K81930842",-0.645705521472393,1,-0.645705521472393,NA,-0.645705521472393
"39","protopine",-0.645243037863415,2,-0.645243037863415,0.627213837095429,-0.645243037863415
"40","BRD-K84890987",-0.645023858214042,1,-0.645023858214042,NA,-0.645023858214042
"41","BRD-K06311439",-0.642467620995228,1,-0.642467620995228,NA,-0.642467620995228
"42","BRD-K88849270",-0.642379304079567,1,-0.642379304079567,NA,-0.642379304079567
"43","lactotensin",-0.639807953832867,2,-0.639807953832867,0.144938350423125,-0.639807953832867
"44","BRD-K48415574",-0.638536742580015,1,-0.638536742580015,NA,-0.638536742580015
"45","palonosetron",-0.637659534114268,1,-0.637659534114268,NA,-0.637659534114268
"46","BRD-K41931739",-0.63612579178298,2,-0.63612579178298,0.0571180324271346,-0.63612579178298
"47","BRD-K97255584",-0.636073918939826,1,-0.636073918939826,NA,-0.636073918939826
"48","mecamylamine",-0.633399138749578,1,-0.633399138749578,NA,-0.633399138749578
"49","BRD-K94312010",-0.633265167007498,1,-0.633265167007498,NA,-0.633265167007498
"50","BRD-K79052598",-0.631013317345352,1,-0.631013317345352,NA,-0.631013317345352
"51","BRD-K44421266",-0.630197682344922,1,-0.630197682344922,NA,-0.630197682344922
"52","BRD-K95767742",-0.629345603271984,1,-0.629345603271984,NA,-0.629345603271984
"53","BRD-K02654447",-0.627775416868188,1,-0.627775416868188,NA,-0.627775416868188
"54","gaboxadol",-0.625389595463962,1,-0.625389595463962,NA,-0.625389595463962
"55","BRD-K92047490",-0.624470530519982,2,-0.624470530519982,0.566988517888075,-0.624470530519982
"56","BRD-K69695287",-0.624324496622789,4,-0.618743378695045,0.0679624272415894,-0.624324496622789
"57","BRD-K34544769",-0.619120654396728,1,-0.619120654396728,NA,-0.619120654396728
"58","dimaprit",-0.614823814959531,1,-0.614823814959531,NA,-0.614823814959531
"59","BRD-K87371039",-0.614178595773688,1,-0.614178595773688,NA,-0.614178595773688
"60","U-0124",-0.613042490343104,3,-0.643660531697341,0.128615100782367,-0.613042490343104
"61","BRD-K43814749",-0.60493969771345,1,-0.60493969771345,NA,-0.60493969771345
"62","BRD-K95286134",-0.604542060812746,3,-0.570686118981344,0.085293299633591,-0.604542060812746
"63","BRD-K41757249",-0.603746787011337,1,-0.603746787011337,NA,-0.603746787011337
"64","ST-4075437",-0.603689981739808,3,-0.61277882518448,0.150682886474794,-0.603689981739808
"65","anastrozole",-0.602553876309224,1,-0.602553876309224,NA,-0.602553876309224
"66","chloropyramine",-0.60067930234876,1,-0.60067930234876,NA,-0.60067930234876
"67","triphenyl-tin",-0.599352419904567,1,-0.599352419904567,NA,-0.599352419904567
"68","DM-163",-0.597907992067999,3,-0.524673849042694,0.211894406689456,-0.597907992067999
"69","KU-C103868",-0.597800455537025,2,-0.597800455537025,0.0472626236724003,-0.597800455537025
"70","BRD-K28925416",-0.595907659540308,1,-0.595907659540308,NA,-0.595907659540308
"71","BRD-K65342895",-0.594885164652782,1,-0.594885164652782,NA,-0.594885164652782
"72","BRD-K21994180",-0.594795850158062,3,-0.619631901840491,0.159197729810686,-0.594795850158062
"73","BRD-K67798612",-0.59427245469013,3,-0.605110113528038,0.0357803602377686,-0.59427245469013
"74","BRD-K61050052",-0.594069529652352,1,-0.594069529652352,NA,-0.594069529652352
"75","reichstein",-0.591136016731855,1,-0.591136016731855,NA,-0.591136016731855
"76","BRD-K60984759",-0.588698322484475,1,-0.588698322484475,NA,-0.588698322484475
"77","chlormezanone",-0.588445807770961,1,-0.588445807770961,NA,-0.588445807770961
"78","goserelin",-0.588275391956373,1,-0.588275391956373,NA,-0.588275391956373
"79","reserpic-acid",-0.585070984414729,4,-0.51600086453498,0.179735346847274,-0.585070984414729
"80","BRD-K81927853",-0.584575007870232,2,-0.584575007870232,0.0714577916229759,-0.584575007870232
"81","BRD-K48551077",-0.584437927119785,1,-0.584437927119785,NA,-0.584437927119785
"82","nevirapine",-0.583467305075413,1,-0.583467305075413,NA,-0.583467305075413
"83","BRD-K26173688",-0.580518363384271,1,-0.580518363384271,NA,-0.580518363384271
"84","methenamine",-0.580058988783662,1,-0.580058988783662,NA,-0.580058988783662
"85","BRD-K41666683",-0.579888572969074,1,-0.579888572969074,NA,-0.579888572969074
"86","BRD-K94064112",-0.578814205238395,1,-0.578814205238395,NA,-0.578814205238395
"87","pefloxacin",-0.577502751564848,1,-0.577502751564848,NA,-0.577502751564848
"88","BRD-K12837223",-0.57733233575026,1,-0.57733233575026,NA,-0.57733233575026
"89","levothyroxine",-0.576309840862734,1,-0.576309840862734,NA,-0.576309840862734
"90","BRD-K77762110",-0.57486130643874,2,-0.57486130643874,0.152917264029606,-0.57486130643874
"91","BRD-K67550673",-0.572305069219926,4,-0.556712022185161,0.136277859075671,-0.572305069219926
"92","BRD-K52208857",-0.571315909396541,1,-0.571315909396541,NA,-0.571315909396541
"93","BRD-K29911749",-0.569663624093818,1,-0.569663624093818,NA,-0.569663624093818
"94","BRD-K27775808",-0.568981960835468,1,-0.568981960835468,NA,-0.568981960835468
"95","BRD-K48211564",-0.568930087992314,1,-0.568930087992314,NA,-0.568930087992314
"96","metrifonate",-0.568847989093388,1,-0.568847989093388,NA,-0.568847989093388
"97","BRD-K24127443",-0.568592365371506,2,-0.568592365371506,0.00590460672770022,-0.568592365371506
"98","BRD-K90736214",-0.567210816818552,2,-0.567210816818552,0.0628074046494055,-0.567210816818552
"99","BRD-K75388977",-0.567040401003964,2,-0.567040401003964,0.49945575844133,-0.567040401003964
"100","BRD-K07922534",-0.566936971060417,1,-0.566936971060417,NA,-0.566936971060417
"101","KU-C104253",-0.566784777282083,2,-0.566784777282083,0.0920378942300618,-0.566784777282083
"102","SB-203186",-0.566040234740119,3,-0.561994912437377,0.0307714964270126,-0.566040234740119
"103","BRD-K96213252",-0.565232812914541,1,-0.565232812914541,NA,-0.565232812914541
"104","BRD-K89712338",-0.563988029369274,1,-0.563988029369274,NA,-0.563988029369274
"105","hexamethylenebisacetamide",-0.562439174010099,2,-0.562439174010099,0.0176880503322945,-0.562439174010099
"106","ipriflavone",-0.559371689347522,2,-0.559371689347522,0.0526336819860263,-0.559371689347522
"107","BRD-K12017137",-0.55824576451645,1,-0.55824576451645,NA,-0.55824576451645
"108","VUF-5681",-0.557223269628924,1,-0.557223269628924,NA,-0.557223269628924
"109","BRD-K03111155",-0.556985867943296,2,-0.556985867943296,0.130288624394543,-0.556985867943296
"110","BRD-K60487596",-0.556509097147383,3,-0.54972497378707,0.232265866885343,-0.556509097147383
"111","BRD-K89354557",-0.556407634628494,1,-0.556407634628494,NA,-0.556407634628494
"112","BRD-K91809691",-0.555978486083657,1,-0.555978486083657,NA,-0.555978486083657
"113","BRD-K47709646",-0.555908603904143,5,-0.524844264857281,0.176493706648785,-0.555908603904143
"114","BRD-K36702054",-0.555126407010719,1,-0.555126407010719,NA,-0.555126407010719
"115","BRD-K32761691",-0.555007864039285,1,-0.555007864039285,NA,-0.555007864039285
"116","deptropine",-0.554837448224698,1,-0.554837448224698,NA,-0.554837448224698
"117","BRD-K40591230",-0.554785575381544,1,-0.554785575381544,NA,-0.554785575381544
"118","loxoprofen",-0.554155784966347,1,-0.554155784966347,NA,-0.554155784966347
"119","limonin",-0.553510565780504,1,-0.553510565780504,NA,-0.553510565780504
"120","BRD-K62578746",-0.551976823449216,1,-0.551976823449216,NA,-0.551976823449216
"121","doxercalciferol",-0.551769963562121,1,-0.551769963562121,NA,-0.551769963562121
"122","BRD-K17969842",-0.551485937204475,3,-0.734796548429197,0.448035341226972,-0.551485937204475
"123","BRL-52537",-0.549420586230402,1,-0.549420586230402,NA,-0.549420586230402
"124","1B-NR",-0.549250170415815,2,-0.549250170415815,0.050851919165086,-0.549250170415815
"125","RS-102221",-0.549100115800248,3,-0.520924701121766,0.0649170931336778,-0.549100115800248
"126","BRD-K14496573",-0.548045945034003,1,-0.548045945034003,NA,-0.548045945034003
"127","BRD-K04750859",-0.54660561628134,1,-0.54660561628134,NA,-0.54660561628134
"128","BRD-K47558670",-0.546511369358244,3,-0.553680981595092,0.0304801109639686,-0.546511369358244
"129","BRD-K79481905",-0.545160190865712,1,-0.545160190865712,NA,-0.545160190865712
"130","BRD-K13195996",-0.544989775051125,1,-0.544989775051125,NA,-0.544989775051125
"131","BRD-K69482343",-0.544308111792774,1,-0.544308111792774,NA,-0.544308111792774
"132","BRD-K39659850",-0.543538131618763,1,-0.543538131618763,NA,-0.543538131618763
"133","BRD-K51696048",-0.542235788963342,4,-0.605128335564291,0.266793088791323,-0.542235788963342
"134","dofetilide",-0.542226677945216,1,-0.542226677945216,NA,-0.542226677945216
"135","BRD-A48052484",-0.541545014686865,1,-0.541545014686865,NA,-0.541545014686865
"136","BRD-K72676786",-0.540558963871847,1,-0.540558963871847,NA,-0.540558963871847
"137","nerol",-0.540558963871847,1,-0.540558963871847,NA,-0.540558963871847
"138","BRD-K80832690",-0.539195637355147,1,-0.539195637355147,NA,-0.539195637355147
"139","BRD-K35790918",-0.539025221540559,2,-0.539025221540559,0.200756628741785,-0.539025221540559
"140","BG-1022",-0.538964395550658,4,-0.604020632769472,0.333258957329718,-0.538964395550658
"141","BRD-K94579454",-0.538843491046273,1,-0.538843491046273,NA,-0.538843491046273
"142","BRD-A94546435",-0.53847135851603,5,-0.623003774059735,0.261957165702405,-0.53847135851603
"143","BRD-K63784565",-0.536980231765508,1,-0.536980231765508,NA,-0.536980231765508
"144","ML-4054",-0.536842325174111,3,-0.677707250542353,0.307620527774141,-0.536842325174111
"145","KUC103898N",-0.536791593914666,6,-0.594051307616098,0.314277929883273,-0.536791593914666
"146","BRD-K34347561",-0.535699004147734,1,-0.535699004147734,NA,-0.535699004147734
"147","BRD-K87888439",-0.535410045361712,1,-0.535410045361712,NA,-0.535410045361712
"148","BRD-K01800709",-0.534604590960792,6,-0.627367599367972,0.249069252006989,-0.534604590960792
"149","clobutinol",-0.534253578732106,1,-0.534253578732106,NA,-0.534253578732106
"150","BRD-K04676863",-0.533450263493954,4,-0.506609772696408,0.0989912497037069,-0.533450263493954
"151","BRD-K56621596",-0.53329806971562,2,-0.53329806971562,0.156317094867668,-0.53329806971562
"152","alverine",-0.532683392328311,1,-0.532683392328311,NA,-0.532683392328311
"153","BRD-K65455015",-0.532512976513723,1,-0.532512976513723,NA,-0.532512976513723
"154","BRD-K87063901",-0.531806931337979,4,-0.598293480944534,0.189358197038225,-0.531806931337979
"155","BRD-K67454499",-0.531609024597631,1,-0.531609024597631,NA,-0.531609024597631
"156","BRD-K81214387",-0.531405273718903,4,-0.537284619322175,0.0748007665525127,-0.531405273718903
"157","BRD-A15501135",-0.531338287847863,2,-0.531338287847863,0.0720860723643621,-0.531338287847863
"158","BRD-K89144371",-0.530756945524693,1,-0.530756945524693,NA,-0.530756945524693
"159","BRD-K65283978",-0.529615907665734,1,-0.529615907665734,NA,-0.529615907665734
"160","bifonazole",-0.529311520109066,1,-0.529311520109066,NA,-0.529311520109066
"161","BRD-K68102868",-0.52839048774043,6,-0.575135152196875,0.165335500881054,-0.52839048774043
"162","BRD-K27305388",-0.528100387370699,2,-0.528100387370699,0.0269667180472511,-0.528100387370699
"163","BRD-K81313552",-0.528094313358615,3,-0.528763828592796,0.0269501586802186,-0.528094313358615
"164","BRD-K01265221",-0.527418724112349,2,-0.527418724112349,0.0337663797233731,-0.527418724112349
"165","bemegride",-0.524999409772603,4,-0.636758691206544,0.239998173003484,-0.524999409772603
"166","BRD-K90996982",-0.524970023424508,3,-0.513426405279912,0.0214868789560724,-0.524970023424508
"167","BRD-K48924007",-0.524673849042693,3,-0.626241674536899,0.282612317372483,-0.524673849042693
"168","TG100-115",-0.523947528536983,3,-0.550783912747103,0.355396042251602,-0.523947528536983
"169","BRD-K97008061",-0.523335651918802,1,-0.523335651918802,NA,-0.523335651918802
"170","PSB-1115",-0.521368962694489,2,-0.521368962694489,0.509818945759332,-0.521368962694489
"171","BRD-K12482929",-0.520754285307179,1,-0.520754285307179,NA,-0.520754285307179
"172","BRD-A70633932",-0.520176051992376,2,-0.520176051992376,0.201625913839403,-0.520176051992376
"173","BRD-K95838867",-0.519835220363201,2,-0.519835220363201,0.018893072113457,-0.519835220363201
"174","clenbuterol",-0.518045854310031,2,-0.518045854310031,0.0277412708175571,-0.518045854310031
"175","diosmin",-0.517824707235999,3,-0.512744742021562,0.0203350365144343,-0.517824707235999
"176","BG-1012",-0.517345969015427,2,-0.517345969015427,0.126527287022133,-0.517345969015427
"177","LM-1685",-0.515422631220177,2,-0.515422631220177,0.0290410249260323,-0.515422631220177
"178","BRD-K72808738",-0.515300979240376,1,-0.515300979240376,NA,-0.515300979240376
"179","BRD-K93410778",-0.515249106397223,1,-0.515249106397223,NA,-0.515249106397223
"180","BRD-K24789695",-0.515078690582635,1,-0.515078690582635,NA,-0.515078690582635
"181","cefepime",-0.514789731796613,1,-0.514789731796613,NA,-0.514789731796613
"182","BRD-K90735586",-0.514672276434578,17,-0.61277882518448,0.365584200870135,-0.514672276434578
"183","BRD-K77425389",-0.514474029560247,1,-0.514474029560247,NA,-0.514474029560247
"184","methimazole",-0.513292433537832,1,-0.513292433537832,NA,-0.513292433537832
"185","BRD-K33459729",-0.512762964057816,2,-0.512762964057816,0.102452621249673,-0.512762964057816
"186","BRD-K22433696",-0.510818295217945,1,-0.510818295217945,NA,-0.510818295217945
"187","BRD-K43680293",-0.510206726839002,2,-0.510206726839002,0.118789377771884,-0.510206726839002
"188","BRD-K88511582",-0.509677257358985,2,-0.509677257358985,0.000241004356232563,-0.509677257358985
"189","morantel",-0.509677257358985,1,-0.509677257358985,NA,-0.509677257358985
"190","BRD-K93203589",-0.509543285616905,1,-0.509543285616905,NA,-0.509543285616905
"191","phenytoin",-0.508995594100635,1,-0.508995594100635,NA,-0.508995594100635
"192","BRD-K38740852",-0.508943721257481,1,-0.508943721257481,NA,-0.508943721257481
"193","BRD-K78481586",-0.50800043226749,4,-0.565847490301851,0.336896453602576,-0.50800043226749
"194","BRD-K10143126",-0.507802683398522,1,-0.507802683398522,NA,-0.507802683398522
"195","enoxacin",-0.507802683398522,1,-0.507802683398522,NA,-0.507802683398522
"196","BRD-K86631750",-0.50646448627463,1,-0.50646448627463,NA,-0.50646448627463
"197","BRD-K17402942",-0.505953238830868,1,-0.505953238830868,NA,-0.505953238830868
"198","BRD-A27924917",-0.50562372188139,1,-0.50562372188139,NA,-0.50562372188139
"199","BRD-K28922292",-0.50553540496573,1,-0.50553540496573,NA,-0.50553540496573
"200","BRD-K50605719",-0.505364989151142,1,-0.505364989151142,NA,-0.505364989151142
"201","BRD-K24304282",-0.505282890252215,1,-0.505282890252215,NA,-0.505282890252215
"202","tyramine",-0.503749147920927,1,-0.503749147920927,NA,-0.503749147920927
"203","BRD-K96663038",-0.503660831005266,1,-0.503660831005266,NA,-0.503660831005266
"204","BRD-K71140693",-0.502178961517131,1,-0.502178961517131,NA,-0.502178961517131
"205","ITSA-1",-0.501805620664765,3,-0.486841538204248,0.0513387636989558,-0.501805620664765
"206","BRD-K52918979",-0.501786257044802,1,-0.501786257044802,NA,-0.501786257044802
"207","BRD-K40034561",-0.50127500960104,1,-0.50127500960104,NA,-0.50127500960104
"208","BRD-K82925070",-0.501104593786452,1,-0.501104593786452,NA,-0.501104593786452
"209","BRD-K18495986",-0.50077097775307,3,-0.468777461857963,0.0697487420323391,-0.50077097775307
"210","BRD-K89000385",-0.500252514713514,1,-0.500252514713514,NA,-0.500252514713514
"211","ST-4028268",-0.499691677594015,6,-0.513785458945341,0.281853708512203,-0.499691677594015
"212","BRD-K24665987",-0.49931833674165,1,-0.49931833674165,NA,-0.49931833674165
"213","BRD-K78518750",-0.499281892669142,1,-0.499281892669142,NA,-0.499281892669142
"214","acetyl-geranygeranyl-cysteine",-0.498953209064136,3,-0.484796548429197,0.346264644110097,-0.498953209064136
"215","hydroquinidine",-0.498770645225379,1,-0.498770645225379,NA,-0.498770645225379
"216","isoprenaline",-0.497918566152441,1,-0.497918566152441,NA,-0.497918566152441
"217","cloperastine",-0.496762099522836,1,-0.496762099522836,NA,-0.496762099522836
"218","BRD-K32718105",-0.496503366792587,1,-0.496503366792587,NA,-0.496503366792587
"219","DAC-004",-0.496317837950113,2,-0.496317837950113,0.160362629222014,-0.496317837950113
"220","BRD-K74659851",-0.496147422135525,2,-0.496147422135525,0.328824674228625,-0.496147422135525
"221","BRD-K33932270",-0.495891798413644,2,-0.495891798413644,0.418839801281513,-0.495891798413644
"222","bosentan",-0.49445344458916,3,-0.525525928115631,0.0961236340255032,-0.49445344458916
"223","BRD-K86273012",-0.494376278118609,1,-0.494376278118609,NA,-0.494376278118609
"224","BRD-A42737819",-0.494136909008324,6,-0.561605316973416,0.315283539625341,-0.494136909008324
"225","tryptophan",-0.493865030674847,1,-0.493865030674847,NA,-0.493865030674847
"226","BRD-K32035967",-0.493146923343989,1,-0.493146923343989,NA,-0.493146923343989
"227","esmolol",-0.492635675900226,1,-0.492635675900226,NA,-0.492635675900226
"228","spaglumic-acid",-0.492635675900226,1,-0.492635675900226,NA,-0.492635675900226
"229","BRD-K70693222",-0.492621743376001,7,-0.583637720890001,0.29168391297952,-0.492621743376001
"230","nikkomycin",-0.492615314701204,3,-0.443421949556919,0.108257956798778,-0.492615314701204
"231","cortisol",-0.492465260085638,1,-0.492465260085638,NA,-0.492465260085638
"232","BRD-K87338781",-0.492331288343558,1,-0.492331288343558,NA,-0.492331288343558
"233","cefatrizine",-0.491921503418685,3,-0.560668029993183,0.368826860675465,-0.491921503418685
"234","tiletamine",-0.4916131810127,1,-0.4916131810127,NA,-0.4916131810127
"235","estropipate",-0.491420106445736,7,-0.566973415132924,0.167697191941046,-0.491420106445736
"236","carbetocin",-0.490579849717444,9,-0.557734517072687,0.261150524098487,-0.490579849717444
"237","BRD-K99750259",-0.490387761087396,3,-0.460804362644853,0.140460106367295,-0.490387761087396
"238","parecoxib",-0.489523533990289,3,-0.568166325835037,0.330875371600938,-0.489523533990289
"239","BRD-K42969667",-0.489345902579908,1,-0.489345902579908,NA,-0.489345902579908
"240","BRD-K85827194",-0.489345902579908,1,-0.489345902579908,NA,-0.489345902579908
"241","bretylium",-0.488886527979299,1,-0.488886527979299,NA,-0.488886527979299
"242","VU-0413238-1",-0.487011954018835,2,-0.487011954018835,0.0761573765695121,-0.487011954018835
"243","BRD-K29649571",-0.487011954018835,1,-0.487011954018835,NA,-0.487011954018835
"244","ST-4029655",-0.485514655760054,1,-0.485514655760054,NA,-0.485514655760054
"245","BRD-K04574057",-0.485255923029806,1,-0.485255923029806,NA,-0.485255923029806
"246","BRD-K17754811",-0.484916232984339,6,-0.573430994050999,0.287365550532181,-0.484916232984339
"247","BRD-K58223721",-0.484796548429197,1,-0.484796548429197,NA,-0.484796548429197
"248","BRD-K01275558",-0.483892596513105,1,-0.483892596513105,NA,-0.483892596513105
"249","BRD-K23844489",-0.483092390283321,1,-0.483092390283321,NA,-0.483092390283321
"250","BRD-K60203832",-0.482188438367229,1,-0.482188438367229,NA,-0.482188438367229
"251","BRD-K67575276",-0.48159509202454,1,-0.48159509202454,NA,-0.48159509202454
"252","BRD-K08039986",-0.481558647952032,1,-0.481558647952032,NA,-0.481558647952032
"253","aztreonam",-0.481424676209952,1,-0.481424676209952,NA,-0.481424676209952
"254","evodiamine",-0.480799867291162,21,-0.624196684761848,0.401196066371993,-0.480799867291162
"255","BRD-K97648508",-0.480484280221353,1,-0.480484280221353,NA,-0.480484280221353
"256","BRD-K49620695",-0.480313864406766,1,-0.480313864406766,NA,-0.480313864406766
"257","BRD-K79609340",-0.480313864406766,1,-0.480313864406766,NA,-0.480313864406766
"258","BRD-K37277634",-0.480143448592178,1,-0.480143448592178,NA,-0.480143448592178
"259","BRD-K56634255",-0.479368371755203,1,-0.479368371755203,NA,-0.479368371755203
"260","mifobate",-0.479253927867673,3,-0.566802999318337,0.423239425429708,-0.479253927867673
"261","BRD-K88866336",-0.479120953704652,1,-0.479120953704652,NA,-0.479120953704652
"262","BRD-K22907310",-0.478439290446302,1,-0.478439290446302,NA,-0.478439290446302
"263","BRD-K18822535",-0.478268874631714,1,-0.478268874631714,NA,-0.478268874631714
"264","lisinopril",-0.4780163599182,1,-0.4780163599182,NA,-0.4780163599182
"265","BRD-A96272097",-0.476528917469242,5,-0.499111476854555,0.198489440010958,-0.476528917469242
"266","BRD-K74923162",-0.476138676949369,2,-0.476138676949369,0.384522450369167,-0.476138676949369
"267","BRD-K51896917",-0.475971370143149,1,-0.475971370143149,NA,-0.475971370143149
"268","CB7992112",-0.475800954328562,1,-0.475800954328562,NA,-0.475800954328562
"269","BRD-K14396276",-0.475712637412901,1,-0.475712637412901,NA,-0.475712637412901
"270","BMS-182874",-0.475441900663133,4,-0.493165145380242,0.0817959614482304,-0.475441900663133
"271","BRD-K80398603",-0.475371805783725,1,-0.475371805783725,NA,-0.475371805783725
"272","BRD-K84571636",-0.473950762285491,4,-0.6104964337238,0.389732254270936,-0.473950762285491
"273","BRD-K15478534",-0.473755964553511,1,-0.473755964553511,NA,-0.473755964553511
"274","stiripentol",-0.473549104666415,1,-0.473549104666415,NA,-0.473549104666415
"275","SA-1456977",-0.471540558963872,1,-0.471540558963872,NA,-0.471540558963872
"276","amlexanox",-0.47128493524199,2,-0.47128493524199,0.102547353576986,-0.47128493524199
"277","BRD-K75666689",-0.470600162975273,1,-0.470600162975273,NA,-0.470600162975273
"278","BRD-K75265760",-0.470259331346098,1,-0.470259331346098,NA,-0.470259331346098
"279","farnesol",-0.470113994026248,5,-0.56744821850418,0.281178193851595,-0.470113994026248
"280","BRD-K45056194",-0.469665985003408,1,-0.469665985003408,NA,-0.469665985003408
"281","BRD-K90748376",-0.468384757385634,1,-0.468384757385634,NA,-0.468384757385634
"282","BRD-K10609180",-0.467280163599182,1,-0.467280163599182,NA,-0.467280163599182
"283","BRD-K70210716",-0.466851015054346,1,-0.466851015054346,NA,-0.466851015054346
"284","sulfabenzamide",-0.466221224639149,1,-0.466221224639149,NA,-0.466221224639149
"285","ST-4039884",-0.465746421267894,2,-0.465746421267894,0.110138990798314,-0.465746421267894
"286","BRD-K84113859",-0.465658104352233,1,-0.465658104352233,NA,-0.465658104352233
"287","MDL-73005EF",-0.465588222172719,5,-0.544308111792774,0.30968021074029,-0.465588222172719
"288","BRD-K35243934",-0.465223859144433,1,-0.465223859144433,NA,-0.465223859144433
"289","BRD-K47128441",-0.465166220528432,3,-0.45961145194274,0.387744042694551,-0.465166220528432
"290","BRD-K28179362",-0.465053443329845,1,-0.465053443329845,NA,-0.465053443329845
"291","BRD-K24102129",-0.464940642077286,5,-0.558416180331037,0.265801401263196,-0.464940642077286
"292","BRD-K26427778",-0.464635609464707,1,-0.464635609464707,NA,-0.464635609464707
"293","ST-4049616",-0.464398365650459,4,-0.46819922854316,0.30540450387056,-0.464398365650459
"294","BRD-K81812196",-0.463783530391769,1,-0.463783530391769,NA,-0.463783530391769
"295","SAL-1",-0.463427585734707,2,-0.463427585734707,0.00636084558936055,-0.463427585734707
"296","benzocaine",-0.462934560327198,2,-0.462934560327198,0.262815250471687,-0.462934560327198
"297","BL-074",-0.462319882939888,4,-0.473482118795375,0.0262420982958184,-0.462319882939888
"298","BRD-K70165037",-0.461108750201521,1,-0.461108750201521,NA,-0.461108750201521
"299","BRD-K24992635",-0.460963463779743,1,-0.460963463779743,NA,-0.460963463779743
"300","BRD-A46802340",-0.460557248086582,5,-0.586571233810498,0.225789924572896,-0.460557248086582
"301","BRD-K02174945",-0.460122699386503,1,-0.460122699386503,NA,-0.460122699386503
"302","BRD-K33368320",-0.459863966656254,1,-0.459863966656254,NA,-0.459863966656254
"303","cyanocobalamin",-0.45961145194274,1,-0.45961145194274,NA,-0.45961145194274
"304","BRD-K58761147",-0.459352719212492,1,-0.459352719212492,NA,-0.459352719212492
"305","BRD-K61359235",-0.459014996591684,2,-0.459014996591684,0.37102620642014,-0.459014996591684
"306","BRD-K78094112",-0.458671055954141,1,-0.458671055954141,NA,-0.458671055954141
"307","BRD-K76425766",-0.458633614302575,3,-0.472903885480573,0.0596435996042387,-0.458633614302575
"308","BRD-K11792293",-0.458236810746341,1,-0.458236810746341,NA,-0.458236810746341
"309","BRD-K54457715",-0.457818976881203,1,-0.457818976881203,NA,-0.457818976881203
"310","BRD-K92666980",-0.457225630538514,1,-0.457225630538514,NA,-0.457225630538514
"311","BRD-K47917680",-0.457018770651418,2,-0.457018770651418,0.00915816553684001,-0.457018770651418
